Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Round,Global Accuracy
70,3,8,61,0.121
70,3,8,62,0.1
70,3,8,63,0.103
70,3,8,64,0.121
70,3,8,65,0.093
70,3,8,66,0.108
70,3,8,67,0.121
70,3,8,68,0.109
70,3,8,69,0.108
70,3,8,70,0.103
70,3,9,1,0.087
70,3,9,2,0.078
70,3,9,3,0.093
70,3,9,4,0.121
70,3,9,5,0.114
70,3,9,6,0.114
70,3,9,7,0.087
70,3,9,8,0.121
70,3,9,9,0.087
70,3,9,10,0.109
70,3,9,11,0.108
70,3,9,12,0.087
70,3,9,13,0.103
70,3,9,14,0.109
70,3,9,15,0.093
70,3,9,16,0.103
70,3,9,17,0.114
70,3,9,18,0.087
70,3,9,19,0.121
70,3,9,20,0.108
70,3,9,21,0.114
70,3,9,22,0.093
70,3,9,23,0.1
70,3,9,24,0.109
70,3,9,25,0.121
70,3,9,26,0.108
70,3,9,27,0.108
70,3,9,28,0.103
70,3,9,29,0.087
70,3,9,30,0.121
70,3,9,31,0.109
70,3,9,32,0.108
70,3,9,33,0.078
70,3,9,34,0.103
70,3,9,35,0.121
70,3,9,36,0.093
70,3,9,37,0.1
70,3,9,38,0.114
70,3,9,39,0.109
70,3,9,40,0.108
70,3,9,41,0.087
70,3,9,42,0.108
70,3,9,43,0.078
70,3,9,44,0.103
70,3,9,45,0.1
70,3,9,46,0.103
70,3,9,47,0.114
70,3,9,48,0.121
70,3,9,49,0.108
70,3,9,50,0.114
70,3,9,51,0.1
70,3,9,52,0.103
70,3,9,53,0.109
70,3,9,54,0.093
70,3,9,55,0.109
70,3,9,56,0.078
70,3,9,57,0.121
70,3,9,58,0.108
70,3,9,59,0.109
70,3,9,60,0.1
70,3,9,61,0.103
70,3,9,62,0.103
70,3,9,63,0.078
70,3,9,64,0.093
70,3,9,65,0.108
70,3,9,66,0.103
70,3,9,67,0.087
70,3,9,68,0.103
70,3,9,69,0.087
70,3,9,70,0.103
70,3,10,1,0.087
70,3,10,2,0.108
70,3,10,3,0.109
70,3,10,4,0.078
70,3,10,5,0.121
70,3,10,6,0.087
70,3,10,7,0.109
70,3,10,8,0.078
70,3,10,9,0.109
70,3,10,10,0.103
70,3,10,11,0.114
70,3,10,12,0.114
70,3,10,13,0.087
70,3,10,14,0.114
70,3,10,15,0.109
70,3,10,16,0.1
70,3,10,17,0.078
70,3,10,18,0.093
70,3,10,19,0.078
70,3,10,20,0.114
70,3,10,21,0.1
70,3,10,22,0.087
70,3,10,23,0.087
70,3,10,24,0.114
70,3,10,25,0.108
70,3,10,26,0.103
70,3,10,27,0.109
70,3,10,28,0.114
70,3,10,29,0.087
70,3,10,30,0.093
70,3,10,31,0.108
70,3,10,32,0.109
70,3,10,33,0.087
70,3,10,34,0.1
70,3,10,35,0.1
70,3,10,36,0.078
70,3,10,37,0.109
70,3,10,38,0.087
70,3,10,39,0.109
70,3,10,40,0.1
70,3,10,41,0.121
70,3,10,42,0.093
70,3,10,43,0.108
70,3,10,44,0.109
70,3,10,45,0.078
70,3,10,46,0.093
70,3,10,47,0.1
70,3,10,48,0.093
70,3,10,49,0.121
70,3,10,50,0.078
70,3,10,51,0.103
70,3,10,52,0.109
70,3,10,53,0.121
70,3,10,54,0.087
70,3,10,55,0.114
70,3,10,56,0.1
70,3,10,57,0.087
70,3,10,58,0.103
70,3,10,59,0.087
70,3,10,60,0.1
70,3,10,61,0.087
70,3,10,62,0.078
70,3,10,63,0.121
70,3,10,64,0.1
70,3,10,65,0.121
70,3,10,66,0.1
70,3,10,67,0.1
70,3,10,68,0.087
70,3,10,69,0.078
70,3,10,70,0.087

